IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados
11,"{34, 13, 16, 21, 25}","{32, 1, 3, 4, 19, 22, 26, 30}",0,[]
12,"{33, 37, 11, 20, 27}","{32, 1, 3, 4, 35, 8, 19, 22, 26, 28, 30}",0,[]
13,"{3, 38, 6, 14, 19}","{1, 35, 3, 4, 8, 12, 15, 16, 19, 21, 22, 26, 28}",2,"[19, 3]"
14,"{32, 38, 9, 11, 12}","{34, 35, 4, 36, 7, 8, 11, 12, 15, 16, 21, 22, 25, 28}",2,"[11, 12]"
15,"{1, 3, 38, 17, 20}","{34, 35, 36, 37, 4, 7, 8, 15, 16, 21, 22, 25, 28}",0,[]
16,"{36, 6, 7, 11, 23}","{34, 35, 36, 37, 4, 7, 8, 9, 11, 15, 16, 19, 21, 22, 25, 28}",3,"[11, 36, 7]"
17,"{33, 34, 8, 18, 31}","{32, 1, 34, 35, 37, 38, 8, 9, 12, 13, 15, 16, 19, 22, 25}",2,"[8, 34]"
18,"{1, 4, 37, 6, 7}","{32, 1, 35, 37, 9, 11, 12, 13, 15, 16, 19, 20, 22, 25}",2,"[1, 37]"
19,"{5, 38, 19, 23, 31}","{32, 3, 38, 9, 11, 12, 13, 15, 16, 18, 19, 20, 22, 25, 27}",2,"[19, 38]"
20,"{33, 37, 13, 23, 27}","{32, 3, 9, 11, 12, 13, 14, 15, 16, 18, 20, 22, 25, 27}",2,"[27, 13]"
21,"{38, 39, 8, 10, 18}","{32, 1, 34, 3, 38, 6, 8, 9, 12, 14, 15, 16, 18, 20, 25}",3,"[8, 18, 38]"
22,"{35, 8, 23, 27, 29}","{32, 1, 34, 3, 36, 4, 6, 7, 5, 9, 14, 15, 16, 20, 25, 31}",0,[]
23,"{3, 14, 23, 28, 29}","{1, 3, 4, 5, 6, 7, 9, 10, 14, 15, 16, 17, 19, 20, 25, 31, 32, 34, 36, 37, 38}",2,"[3, 14]"
24,"{6, 39, 12, 15, 27}","{1, 4, 5, 6, 7, 10, 15, 16, 17, 18, 19, 20, 25, 31, 32, 33, 34, 36, 37, 38}",2,"[6, 15]"
25,"{2, 3, 10, 16, 28}","{1, 4, 5, 7, 10, 16, 17, 18, 19, 20, 23, 28, 29, 31, 33, 34, 36, 37, 38}",3,"[16, 10, 28]"
26,"{36, 9, 11, 25, 31}","{33, 34, 35, 36, 37, 5, 4, 8, 7, 38, 17, 18, 19, 20, 23, 29, 31}",2,"[36, 31]"
27,"{3, 6, 14, 17, 20}","{4, 5, 6, 8, 10, 13, 17, 18, 19, 20, 23, 27, 28, 29, 33, 34, 35, 37, 38, 39}",3,"[17, 20, 6]"
28,"{33, 34, 7, 17, 19}","{33, 34, 35, 4, 5, 37, 39, 8, 10, 12, 13, 18, 19, 23, 27, 28, 29}",3,"[33, 34, 19]"
29,"{34, 21, 23, 29, 31}","{35, 4, 5, 37, 39, 8, 9, 10, 11, 12, 13, 18, 23, 27, 28, 29}",2,"[29, 23]"
30,"{34, 7, 8, 21, 22}","{35, 3, 5, 6, 39, 8, 9, 10, 11, 12, 13, 37, 15, 18, 27, 28}",1,[8]
31,"{7, 9, 13, 24, 30}","{35, 3, 5, 6, 39, 9, 10, 11, 12, 13, 15, 16, 18, 25, 27, 28}",2,"[9, 13]"
32,"{4, 38, 10, 17, 29}","{3, 35, 5, 6, 39, 36, 10, 11, 12, 15, 16, 18, 21, 23, 25, 27, 28, 31}",1,[10]
33,"{9, 13, 18, 23, 25}","{3, 5, 6, 14, 15, 16, 18, 19, 21, 23, 25, 27, 28, 30, 31, 33, 34, 35, 36, 39}",3,"[25, 18, 23]"
