N1,N2,N3,N4,N5,Peso,MetodoCalculo
1,7,8,18,21,4.766318082788672,Promedio
7,8,18,21,39,4.749483065953655,Promedio
1,8,18,21,39,4.72540899187958,Promedio
1,7,8,18,39,4.72540899187958,Promedio
1,7,8,21,39,4.71540899187958,Promedio
1,7,18,21,39,4.695016835016835,Promedio
7,8,18,21,26,4.680728291316527,Promedio
1,7,8,18,26,4.656654217242453,Promedio
1,8,18,21,26,4.656654217242453,Promedio
1,7,8,21,26,4.646654217242452,Promedio
7,8,18,26,39,4.639819200407436,Promedio
8,18,21,26,39,4.639819200407436,Promedio
7,8,21,26,39,4.629819200407436,Promedio
1,7,18,21,26,4.626262060379707,Promedio
1,8,18,26,39,4.615745126333362,Promedio
7,18,21,26,39,4.609427043544691,Promedio
1,8,21,26,39,4.605745126333361,Promedio
1,7,8,26,39,4.605745126333361,Promedio
7,8,18,21,32,4.597967914438503,Promedio
1,18,21,26,39,4.585352969470616,Promedio
1,7,18,26,39,4.585352969470616,Promedio
1,7,21,26,39,4.575352969470616,Promedio
1,7,8,18,32,4.573893840364429,Promedio
1,8,18,21,32,4.573893840364429,Promedio
1,7,8,21,32,4.563893840364429,Promedio
7,8,18,32,39,4.557058823529412,Promedio
8,18,21,32,39,4.557058823529412,Promedio
7,8,18,21,30,4.55467787114846,Promedio
7,8,21,32,39,4.547058823529412,Promedio
1,7,18,21,32,4.543501683501684,Promedio
7,8,14,18,21,4.540392156862746,Promedio
6,7,8,18,21,4.539692856163445,Promedio
1,8,18,32,39,4.532984749455338,Promedio
1,8,18,21,30,4.530603797074385,Promedio
1,7,8,18,30,4.530603797074385,Promedio
7,18,21,32,39,4.526666666666666,Promedio
1,7,8,32,39,4.522984749455338,Promedio
1,8,21,32,39,4.522984749455338,Promedio
1,7,8,21,30,4.5206037970743855,Promedio
1,8,14,18,21,4.516318082788671,Promedio
1,7,8,14,18,4.516318082788671,Promedio
1,6,7,8,18,4.515618782089371,Promedio
1,6,8,18,21,4.515618782089371,Promedio
7,8,18,30,39,4.513768780239369,Promedio
8,18,21,30,39,4.513768780239369,Promedio
1,7,8,14,21,4.506318082788671,Promedio
1,6,7,8,21,4.50561878208937,Promedio
7,8,21,30,39,4.503768780239368,Promedio
1,7,18,32,39,4.502592592592593,Promedio
1,18,21,32,39,4.502592592592593,Promedio
1,7,18,21,30,4.50021164021164,Promedio
8,14,18,21,39,4.499483065953655,Promedio
7,8,14,18,39,4.499483065953655,Promedio
6,8,18,21,39,4.498783765254354,Promedio
6,7,8,18,39,4.498783765254354,Promedio
1,7,21,32,39,4.492592592592593,Promedio
1,8,18,30,39,4.489694706165294,Promedio
7,8,14,21,39,4.489483065953654,Promedio
6,7,8,21,39,4.488783765254354,Promedio
8,18,21,26,32,4.488304048892284,Promedio
7,8,18,26,32,4.488304048892284,Promedio
1,7,14,18,21,4.485925925925926,Promedio
1,6,7,18,21,4.485226625226625,Promedio
7,18,21,30,39,4.483376623376623,Promedio
1,7,8,30,39,4.4796947061652945,Promedio
1,8,21,30,39,4.4796947061652945,Promedio
7,8,21,26,32,4.4783040488922845,Promedio
1,8,14,18,39,4.47540899187958,Promedio
1,6,8,18,39,4.47470969118028,Promedio
7,14,18,21,39,4.469090909090909,Promedio
6,7,18,21,39,4.468391608391609,Promedio
1,7,8,14,39,4.46540899187958,Promedio
1,8,14,21,39,4.46540899187958,Promedio
1,6,7,8,39,4.464709691180279,Promedio
1,6,8,21,39,4.464709691180279,Promedio
1,8,18,26,32,4.464229974818211,Promedio
1,18,21,30,39,4.459302549302549,Promedio
1,7,18,30,39,4.459302549302549,Promedio
7,18,21,26,32,4.457911892029539,Promedio
1,7,8,26,32,4.45422997481821,Promedio
1,8,21,26,32,4.45422997481821,Promedio
1,7,21,30,39,4.4493025493025495,Promedio
8,18,26,32,39,4.447394957983193,Promedio
1,14,18,21,39,4.445016835016835,Promedio
1,7,14,18,39,4.445016835016835,Promedio
7,8,18,26,30,4.445014005602241,Promedio
8,18,21,26,30,4.445014005602241,Promedio
1,6,18,21,39,4.444317534317534,Promedio
1,6,7,18,39,4.444317534317534,Promedio
7,8,26,32,39,4.4373949579831935,Promedio
8,21,26,32,39,4.4373949579831935,Promedio
1,7,14,21,39,4.435016835016835,Promedio
7,8,21,26,30,4.435014005602241,Promedio
1,6,7,21,39,4.434317534317534,Promedio
1,18,21,26,32,4.433837817955465,Promedio
1,7,18,26,32,4.433837817955465,Promedio
8,14,18,21,26,4.430728291316527,Promedio
7,8,14,18,26,4.430728291316527,Promedio
6,7,8,18,26,4.4300289906172265,Promedio
6,8,18,21,26,4.4300289906172265,Promedio
1,7,21,26,32,4.423837817955465,Promedio
1,8,18,26,30,4.420939931528167,Promedio
7,8,14,21,26,4.420728291316527,Promedio
6,7,8,21,26,4.420028990617226,Promedio
7,18,26,32,39,4.417002801120448,Promedio
18,21,26,32,39,4.417002801120448,Promedio
7,18,21,26,30,4.414621848739496,Promedio
1,8,26,32,39,4.41332088390912,Promedio
1,7,8,26,30,4.4109399315281665,Promedio
1,8,21,26,30,4.4109399315281665,Promedio
7,21,26,32,39,4.4070028011204485,Promedio
1,8,14,18,26,4.406654217242453,Promedio
1,6,8,18,26,4.405954916543152,Promedio
8,18,26,30,39,4.40410491469315,Promedio
7,14,18,21,26,4.400336134453782,Promedio
6,7,18,21,26,4.399636833754481,Promedio
1,8,14,21,26,4.396654217242452,Promedio
1,7,8,14,26,4.396654217242452,Promedio
1,6,7,8,26,4.395954916543152,Promedio
1,6,8,21,26,4.395954916543152,Promedio
8,21,26,30,39,4.39410491469315,Promedio
7,8,26,30,39,4.39410491469315,Promedio
1,18,26,32,39,4.392928727046375,Promedio
1,18,21,26,30,4.390547774665421,Promedio
1,7,18,26,30,4.390547774665421,Promedio
8,14,18,26,39,4.389819200407436,Promedio
6,8,18,26,39,4.3891198997081355,Promedio
1,7,26,32,39,4.382928727046374,Promedio
1,21,26,32,39,4.382928727046374,Promedio
1,7,21,26,30,4.380547774665422,Promedio
7,8,14,26,39,4.379819200407436,Promedio
8,14,21,26,39,4.379819200407436,Promedio
6,8,21,26,39,4.379119899708135,Promedio
6,7,8,26,39,4.379119899708135,Promedio
1,7,14,18,26,4.376262060379707,Promedio
1,14,18,21,26,4.376262060379707,Promedio
1,6,7,18,26,4.375562759680407,Promedio
1,6,18,21,26,4.375562759680407,Promedio
7,18,26,30,39,4.373712757830405,Promedio
18,21,26,30,39,4.373712757830405,Promedio
1,8,26,30,39,4.370030840619076,Promedio
1,7,14,21,26,4.366262060379707,Promedio
1,6,7,21,26,4.365562759680407,Promedio
7,21,26,30,39,4.363712757830405,Promedio
7,8,18,30,32,4.3622536287242175,Promedio
8,18,21,30,32,4.3622536287242175,Promedio
7,14,18,26,39,4.359427043544691,Promedio
14,18,21,26,39,4.359427043544691,Promedio
6,7,18,26,39,4.35872774284539,Promedio
6,18,21,26,39,4.35872774284539,Promedio
1,8,14,26,39,4.355745126333362,Promedio
1,6,8,26,39,4.355045825634061,Promedio
7,8,21,30,32,4.352253628724217,Promedio
1,18,26,30,39,4.349638683756331,Promedio
7,14,21,26,39,4.349427043544691,Promedio
6,7,21,26,39,4.34872774284539,Promedio
8,14,18,21,32,4.347967914438503,Promedio
7,8,14,18,32,4.347967914438503,Promedio
6,8,18,21,32,4.347268613739202,Promedio
6,7,8,18,32,4.347268613739202,Promedio
1,7,26,30,39,4.3396386837563306,Promedio
1,21,26,30,39,4.3396386837563306,Promedio
1,8,18,30,32,4.338179554650143,Promedio
