N1,N2,N3,N4,N5,Peso,MetodoCalculo
2,10,17,21,34,4.909090909090909,Mediana
10,17,21,22,34,4.882352941176471,Mediana
10,17,21,32,34,4.857142857142857,Mediana
2,10,21,22,34,4.791443850267379,Mediana
2,10,17,22,34,4.791443850267379,Mediana
2,17,21,22,34,4.791443850267379,Mediana
2,10,17,21,22,4.791443850267379,Mediana
10,13,17,21,34,4.777777777777778,Mediana
10,16,17,21,34,4.777777777777778,Mediana
10,17,20,21,34,4.766666666666667,Mediana
2,10,17,21,32,4.766233766233766,Mediana
2,10,17,32,34,4.766233766233766,Mediana
2,17,21,32,34,4.766233766233766,Mediana
2,10,21,32,34,4.766233766233766,Mediana
10,17,19,21,34,4.75,Mediana
10,17,21,24,34,4.75,Mediana
10,21,22,32,34,4.739495798319328,Mediana
17,21,22,32,34,4.739495798319328,Mediana
10,17,21,22,32,4.739495798319328,Mediana
10,17,22,32,34,4.739495798319328,Mediana
10,17,21,29,34,4.6875,Mediana
2,10,16,17,34,4.686868686868687,Mediana
2,10,13,17,34,4.686868686868687,Mediana
2,16,17,21,34,4.686868686868687,Mediana
2,13,17,21,34,4.686868686868687,Mediana
2,10,16,17,21,4.686868686868687,Mediana
2,10,13,17,21,4.686868686868687,Mediana
2,10,16,21,34,4.686868686868687,Mediana
2,10,13,21,34,4.686868686868687,Mediana
2,10,20,21,34,4.675757575757576,Mediana
2,10,17,20,34,4.675757575757576,Mediana
2,10,17,20,21,4.675757575757576,Mediana
2,17,20,21,34,4.675757575757576,Mediana
10,17,21,34,35,4.666666666666667,Mediana
10,17,21,33,34,4.666666666666667,Mediana
10,17,21,23,34,4.666666666666667,Mediana
10,13,17,22,34,4.660130718954249,Mediana
16,17,21,22,34,4.660130718954249,Mediana
10,13,17,21,22,4.660130718954249,Mediana
10,16,17,21,22,4.660130718954249,Mediana
13,17,21,22,34,4.660130718954249,Mediana
10,16,21,22,34,4.660130718954249,Mediana
10,13,21,22,34,4.660130718954249,Mediana
10,16,17,22,34,4.660130718954249,Mediana
2,17,21,24,34,4.659090909090909,Mediana
2,17,19,21,34,4.659090909090909,Mediana
2,10,17,21,24,4.659090909090909,Mediana
2,10,17,19,21,4.659090909090909,Mediana
2,10,17,19,34,4.659090909090909,Mediana
2,10,17,24,34,4.659090909090909,Mediana
2,10,21,24,34,4.659090909090909,Mediana
2,10,19,21,34,4.659090909090909,Mediana
10,17,20,22,34,4.649019607843138,Mediana
17,20,21,22,34,4.649019607843138,Mediana
10,17,20,21,22,4.649019607843138,Mediana
10,20,21,22,34,4.649019607843138,Mediana
2,10,21,22,32,4.648586707410237,Mediana
2,17,21,22,32,4.648586707410237,Mediana
2,10,22,32,34,4.648586707410237,Mediana
2,17,22,32,34,4.648586707410237,Mediana
2,21,22,32,34,4.648586707410237,Mediana
2,10,17,22,32,4.648586707410237,Mediana
10,13,17,21,32,4.634920634920635,Mediana
10,16,17,21,32,4.634920634920635,Mediana
10,13,21,32,34,4.634920634920635,Mediana
10,16,21,32,34,4.634920634920635,Mediana
10,13,17,32,34,4.634920634920635,Mediana
13,17,21,32,34,4.634920634920635,Mediana
10,16,17,32,34,4.634920634920635,Mediana
16,17,21,32,34,4.634920634920635,Mediana
10,17,19,22,34,4.632352941176471,Mediana
17,19,21,22,34,4.632352941176471,Mediana
10,17,21,22,24,4.632352941176471,Mediana
10,19,21,22,34,4.632352941176471,Mediana
10,21,22,24,34,4.632352941176471,Mediana
10,17,19,21,22,4.632352941176471,Mediana
10,17,22,24,34,4.632352941176471,Mediana
17,21,22,24,34,4.632352941176471,Mediana
10,17,20,32,34,4.623809523809524,Mediana
10,20,21,32,34,4.623809523809524,Mediana
17,20,21,32,34,4.623809523809524,Mediana
10,17,20,21,32,4.623809523809524,Mediana
17,19,21,32,34,4.607142857142858,Mediana
10,17,19,32,34,4.607142857142858,Mediana
10,19,21,32,34,4.607142857142858,Mediana
10,21,24,32,34,4.607142857142858,Mediana
10,17,24,32,34,4.607142857142858,Mediana
17,21,24,32,34,4.607142857142858,Mediana
10,17,21,24,32,4.607142857142858,Mediana
10,17,19,21,32,4.607142857142858,Mediana
2,17,21,29,34,4.596590909090909,Mediana
2,10,17,29,34,4.596590909090909,Mediana
2,10,17,21,29,4.596590909090909,Mediana
2,10,21,29,34,4.596590909090909,Mediana
2,10,17,34,35,4.575757575757576,Mediana
2,10,17,33,34,4.575757575757576,Mediana
2,10,21,34,35,4.575757575757576,Mediana
2,10,21,33,34,4.575757575757576,Mediana
2,10,17,21,35,4.575757575757576,Mediana
2,10,21,23,34,4.575757575757576,Mediana
2,10,17,21,33,4.575757575757576,Mediana
2,10,17,21,23,4.575757575757576,Mediana
2,17,21,23,34,4.575757575757576,Mediana
2,17,21,33,34,4.575757575757576,Mediana
2,17,21,34,35,4.575757575757576,Mediana
2,10,17,23,34,4.575757575757576,Mediana
17,21,22,29,34,4.569852941176471,Mediana
10,17,22,29,34,4.569852941176471,Mediana
10,21,22,29,34,4.569852941176471,Mediana
10,17,21,22,29,4.569852941176471,Mediana
2,13,17,22,34,4.569221628045158,Mediana
2,10,16,17,22,4.569221628045158,Mediana
2,13,17,21,22,4.569221628045158,Mediana
2,16,17,21,22,4.569221628045158,Mediana
2,10,13,21,22,4.569221628045158,Mediana
2,10,16,22,34,4.569221628045158,Mediana
2,10,13,22,34,4.569221628045158,Mediana
2,10,16,21,22,4.569221628045158,Mediana
2,10,13,17,22,4.569221628045158,Mediana
2,16,17,22,34,4.569221628045158,Mediana
2,13,21,22,34,4.569221628045158,Mediana
2,16,21,22,34,4.569221628045158,Mediana
2,17,20,21,22,4.558110516934047,Mediana
2,10,20,22,34,4.558110516934047,Mediana
2,10,20,21,22,4.558110516934047,Mediana
2,17,20,22,34,4.558110516934047,Mediana
2,10,17,20,22,4.558110516934047,Mediana
2,20,21,22,34,4.558110516934047,Mediana
10,13,16,21,34,4.555555555555555,Mediana
10,13,16,17,21,4.555555555555555,Mediana
10,13,16,17,34,4.555555555555555,Mediana
13,16,17,21,34,4.555555555555555,Mediana
10,17,21,22,35,4.549019607843137,Mediana
10,21,22,34,35,4.549019607843137,Mediana
10,21,22,33,34,4.549019607843137,Mediana
10,21,22,23,34,4.549019607843137,Mediana
10,17,21,22,33,4.549019607843137,Mediana
10,17,22,34,35,4.549019607843137,Mediana
17,21,22,23,34,4.549019607843137,Mediana
10,17,22,23,34,4.549019607843137,Mediana
10,17,22,33,34,4.549019607843137,Mediana
10,17,21,22,23,4.549019607843137,Mediana
17,21,22,33,34,4.549019607843137,Mediana
