N1,N2,N3,N4,N5,Peso,MetodoCalculo
2,18,19,21,25,4.503174603174603,Fusión
18,19,21,25,27,4.501785714285714,Fusión
5,18,19,21,25,4.493650793650794,Fusión
2,19,21,25,27,4.479563492063492,Fusión
2,5,19,21,25,4.4714285714285715,Fusión
5,19,21,25,27,4.470039682539682,Fusión
2,18,19,25,27,4.468452380952381,Fusión
2,5,18,19,25,4.4603174603174605,Fusión
5,18,19,25,27,4.458928571428571,Fusión
2,18,19,21,27,4.451785714285714,Fusión
2,5,18,19,21,4.443650793650794,Fusión
5,18,19,21,27,4.442261904761905,Fusión
2,18,21,25,27,4.4375,Fusión
2,5,19,25,27,4.436706349206349,Fusión
2,5,18,21,25,4.42936507936508,Fusión
18,19,21,24,25,4.428174603174603,Fusión
5,18,21,25,27,4.4279761904761905,Fusión
18,19,20,21,25,4.427812284334023,Fusión
1,18,19,21,25,4.424386724386724,Fusión
2,5,19,21,27,4.420039682539683,Fusión
11,18,19,21,25,4.411507936507936,Fusión
2,5,18,19,27,4.4089285714285715,Fusión
2,19,21,24,25,4.405952380952381,Fusión
2,5,21,25,27,4.405753968253968,Fusión
2,19,20,21,25,4.405590062111801,Fusión
19,21,24,25,27,4.404563492063493,Fusión
19,20,21,25,27,4.404201173222913,Fusión
1,2,19,21,25,4.402164502164502,Fusión
1,19,21,25,27,4.400775613275614,Fusión
5,19,21,24,25,4.396428571428571,Fusión
5,19,20,21,25,4.396066252587992,Fusión
2,18,19,24,25,4.39484126984127,Fusión
2,5,18,25,27,4.394642857142857,Fusión
2,18,19,20,25,4.39447895100069,Fusión
18,19,24,25,27,4.3934523809523816,Fusión
18,19,20,25,27,4.393090062111802,Fusión
1,5,19,21,25,4.3926406926406925,Fusión
1,2,18,19,25,4.391053391053391,Fusión
1,18,19,25,27,4.389664502164503,Fusión
2,11,19,21,25,4.389285714285714,Fusión
11,19,21,25,27,4.387896825396826,Fusión
5,18,19,24,25,4.38531746031746,Fusión
5,18,19,20,25,4.384955141476881,Fusión
16,18,19,21,25,4.382539682539683,Fusión
15,18,19,21,25,4.38204365079365,Fusión
1,5,18,19,25,4.381529581529581,Fusión
5,11,19,21,25,4.379761904761905,Fusión
2,11,18,19,25,4.378174603174603,Fusión
2,18,19,21,24,4.378174603174603,Fusión
2,5,18,21,27,4.37797619047619,Fusión
2,18,19,20,21,4.3778122843340235,Fusión
18,19,21,24,27,4.376785714285715,Fusión
11,18,19,25,27,4.376785714285715,Fusión
18,19,20,21,27,4.376423395445135,Fusión
1,2,18,19,21,4.374386724386724,Fusión
1,18,19,21,27,4.372997835497836,Fusión
2,19,24,25,27,4.371230158730159,Fusión
2,19,20,25,27,4.37086783988958,Fusión
5,18,19,21,24,4.368650793650794,Fusión
5,11,18,19,25,4.368650793650794,Fusión
5,18,19,20,21,4.368288474810214,Fusión
1,2,19,25,27,4.3674422799422805,Fusión
1,5,18,19,21,4.364862914862915,Fusión
2,18,21,24,25,4.363888888888889,Fusión
2,18,20,21,25,4.363526570048309,Fusión
2,5,19,24,25,4.363095238095238,Fusión
2,5,19,20,25,4.3627329192546584,Fusión
18,21,24,25,27,4.362500000000001,Fusión
18,20,21,25,27,4.362137681159421,Fusión
5,19,24,25,27,4.361706349206349,Fusión
2,11,18,19,21,4.3615079365079366,Fusión
5,19,20,25,27,4.361344030365769,Fusión
2,16,19,21,25,4.360317460317461,Fusión
11,18,19,21,27,4.360119047619048,Fusión
